feature,coefficient,abs_coefficient
depression,2.200818074226078,2.200818074226078
lgbt,0.96671242750609,0.96671242750609
zbully,0.3775784440998416,0.3775784440998416
trans,0.22835106051538992,0.22835106051538992
breakfast,-0.1848789967114661,0.1848789967114661
gender,0.13816452061702844,0.13816452061702844
zlifevape,0.12897228808861536,0.12897228808861536
zdrugaccess,0.12472467171395303,0.12472467171395303
zparented,0.1000918389333691,0.1000918389333691
zlifealc,0.06244988473022583,0.06244988473022583
zacademic,-0.0410385621892681,0.0410385621892681
zdruged,0.04038226556515296,0.04038226556515296
zlifedrug,0.040132077806724634,0.040132077806724634
zlifecig,0.021008604732905906,0.021008604732905906
zlifecan,0.005558591424127006,0.005558591424127006
homeless,0.0,0.0
foster,0.0,0.0
